query,result1,result2,result3,domain
1,"-19,-20",",",,Smi.ecore
2,"-13,-15",",",,Maude.ecore
3,"-31,-38",",",,Classes-provided.ecore
4,"-1,-28",",",,Webshop_Builder_3k_Model.ecore
5,"-2,-6",",",,ABNF.ecore
6,"-19,-21",",",,Smi.ecore
7,"-3,-11",",",,ruleset.ecore
8,"-2,-26",",",,futsal.ecore
9,"-1,-2",",",,PSDStructure.ecore
10,-14,",",,DVML.ecore
21,"-8,-2,-19",",",,Logo.ecore
22,"-6,-9,-3",",",,stateChart.ecore
23,"-1,-2,-3",",",,countries.ecore
24,"-1,-6,-3",",",,Zoo.medium.ecore
25,"-7,-4,-3",",",,assigment2.ecore
26,"-4,-5,-10",",",,evaluation.medium.ecore
27,"-98, -22, -40",",",,Fml.ecore
28,"-43,-4,-7",",",,wave.ecore
29,"-2,-7,-3",",",,statemachine_backup.ecore
30,"'-2,-4,-12",",",,StateMachines-provided.ecore
31,"-1,-14,-12",",",,java5.ecore
32,"-1,-30,-31",",",,java5.ecore
33,"-40,-4,-13",",",,DeviceModelingLanguage.ecore
34,"-8,-5,-9",",",,TheCityInfrastructure.ecore
35,"-7,-4,-3",",",,assigment2.ecore
36,"-1,-2,-3",",",,yawl.ecore
37,"-1,-2,-8",",",,yawl.ecore
38,"-11,-7,-14",",",,SmartHouse.ecore
39,"-14,-7,-11",",",,SmartHouse.ecore
40,"-2,-1,-7",",",,SmartHouse.ecore
41,"-1,-2","-1,-2,-3",,zoo.ecore
42,"-6,-9","-6,-8",,zoo.ecore
43,"-7,-9","-7,-13",,SmartHouse.ecore
44,"-1,-4","-1,-7",,SmartHouse.ecore
45,"-2,-1","-2,-7",,SmartHouse.ecore
