query,result1,result2,result3,domain
11,"-1,-5",",",,maps6.json
12,"-10,-13",",",,maps102.json
13,"-1,-3",",",,maps196.json
14,"-1,-9",",",,maps25.json
15,"-1,-7",",",,maps155.json
21,"-1,-2,-5",",",,maps10.json
22,"-1,-11,-13",",",,maps30.json
23,"-1,-8,-11",",",,maps40.json
24,"-1,-2,-4",",",,maps60.json
25,"-1,-7,-10",",",,maps80.json
31,"-1,-2,-6",",",,maps15.json
32,"-1,-2,-5",",",,maps32.json
33,"-1,-9,-11",",",,maps53.json
34,"-1,-2,-4",",",,maps78.json
35,"-1,-2,-3",",",,maps4796.json
41,"-1,-2","-1,-7,-11",,maps19.json
42,"-7,-9","-7,-10",,maps19.json
43,"-2,-13","-2,-4",,maps40.json
44,"-1,-8","-1,-6",,maps47.json
45,"-1,-3","-1,-7",,maps52.json
