query,result1,result2,result3,domain
11,"-1,-14",",",,wikiHow0.json40
12,"-1,-15",",",,wikiHow0.json30
13,"-1,-17",",",,wikiHow0.json4318
14,"-1,-15",",",,wikiHow0.json38
15,"-1,-16",",",,wikiHow0.json53
21,"-1,-2,-4",",",,wikiHow0.json3
22,"-1,-2,-3",",",,wikiHow0.json5
23,"-1,-8,-12",",",,wikiHow0.json4245
24,"-1,-2,-3",",",,wikiHow0.json10
25,"-1,-2,-4",",",,wikiHow0.json111
31,"-1,-2,-3",",",,wikiHow0.json75
32,"-1,-2,-3",",",,wikiHow0.json99
33,"-1,-2,-5",",",,wikiHow0.json91
34,"-1,-7,-8",",",,wikiHow0.json80
35,"-1,-2,-6",",",,wikiHow0.json107
41,"-1,-9","-1,-10",,wikiHow0.json181
42,"-1,-16","-1,-2,-3",,wikiHow0.json111
43,"-1,-19","-1,-2,-4",,wikiHow0.json139
44,"-1,-2,-3","-1,-15",,wikiHow0.json211
45,"-1,-3","-1,-4",,wikiHow0.json213
